folio;hogar;s1a_01;s1a_02;s1a_02b;s1a_03;s1a_04;s1a_05;s1a_05b;s1a_06;s1a_07;s1a_07b;s1a_08;s1a_08b;s1a_09;s1a_09b;s1a_10;s1a_11;s1a_12;s1a_13;s1a_14;s1a_15;s1a_16;s1a_16b;s1a_17_1a;s1a_17_1b;s1a_17_2a;s1a_17_2b;s1a_17_3a;s1a_17_3b;s1a_17_4a;s1a_17_4b;s1a_17_4c;s1a_18_1a;s1a_18_1b;s1a_18_2a;s1a_18_2b;s1a_18_3a;s1a_18_3b;s1a_18_4a;s1a_18_4b;s1a_18_5a;s1a_18_5b;s1a_18_5c;s1a_19;s1a_20;s1a_20b;s1a_21;s1a_22;s1a_23;s1a_24;s1a_25;s1a_26;depto;prov;mun;urbrur;upm;estrato;dia;mes;anio;factor_ant;factor
"42-04426922997-D0481";1;2;5;"";;50;2;"";1;4;"";1;"";5;"";3;3;;1;1;20;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;2;1;2;;2;"04";"0406";"040601";2;"42-04426922997-D";4;30;11;2014;255;256
"42-04426922997-D0521";1;1;2;"";;50;2;"";1;1;"";7;"";2;"";3;6;;;1;20;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";52;2;1;2;;2;"04";"0406";"040601";2;"42-04426922997-D";4;30;11;2014;255;256
"42-04452272316-D0051";1;4;2;"";;1800;2;"";2;4;"";1;"";8;"";0;6;;;2;;4;"";1;300;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;2;"";0;1;1;2;;2;"04";"0401";"040103";2;"42-04452272316-D";4;20;11;2014;255;256
"42-04452272316-D0111";1;1;2;"";;200;2;"";1;1;"";5;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;2;"";0;2;1;2;;2;"04";"0401";"040103";2;"42-04452272316-D";4;20;11;2014;255;256
"42-04452272316-D0171";1;1;2;"";;200;2;"";1;1;"";5;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;2;"";0;1;1;2;;2;"04";"0401";"040103";2;"42-04452272316-D";4;20;11;2014;255;256
"42-04452272316-D0231";1;1;2;"";;100;2;"";1;1;"";1;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;2;"";0;2;1;2;;2;"04";"0401";"040103";2;"42-04452272316-D";4;20;11;2014;255;256
"42-04452272316-D0291";1;1;2;"";;100;2;"";1;1;"";5;"";9;"";150;2;;1;2;;4;"";1;120;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";50;3;1;2;;2;"04";"0401";"040103";2;"42-04452272316-D";4;20;11;2014;255;256
"42-04452272316-D0351";1;1;2;"";;100;2;"";1;1;"";1;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;2;"";0;3;1;2;;2;"04";"0401";"040103";2;"42-04452272316-D";4;20;11;2014;255;256
"42-04452272316-D0421";1;1;2;"";;50;2;"";1;4;"";1;"";8;"";0;3;;1;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;2;"";0;3;1;2;;2;"04";"0401";"040103";2;"42-04452272316-D";4;20;11;2014;255;256
"42-04452272316-D0481";1;1;5;"";;100;2;"";2;4;"";7;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;2;"";0;3;1;2;;2;"04";"0401";"040103";2;"42-04452272316-D";4;20;11;2014;255;256
"42-04452272316-D0541";1;1;2;"";;100;2;"";1;4;"";1;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;2;"";0;2;1;2;;2;"04";"0401";"040103";2;"42-04452272316-D";4;20;11;2014;255;256
"42-04452272316-D0601";1;4;2;"";;600;2;"";1;1;"";5;"";8;"";0;6;;;1;0;3;"";1;1000;2;;2;;2;"";;1;2000;1;1000;2;;2;;1;"Ns/Nr";500;2;2;"";0;2;1;2;;2;"04";"0401";"040103";2;"42-04452272316-D";4;20;11;2014;255;256
"42-04452272316-D0661";1;2;2;"";;2000;2;"";2;1;"";1;"";8;"";0;6;;;2;;4;"";1;4000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;2;"";0;1;1;2;;2;"04";"0401";"040103";2;"42-04452272316-D";4;20;11;2014;255;256
"42-04452272316-D0721";1;1;2;"";;300;2;"";2;4;"";7;"";1;"";300;6;;;2;;4;"";1;1000;2;;2;;2;"";;1;3000;1;4000;2;;2;;2;"";;2;2;"";0;1;1;2;;2;"04";"0401";"040103";2;"42-04452272316-D";4;20;11;2014;255;256
"42-04600368190-A0011";1;1;5;"";;100;1;"";1;1;"";5;"";2;"";18;6;;;1;20;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;1;1;2;;2;"04";"0410";"041001";2;"42-04600368190-A";4;26;11;2014;255;256
"42-04600368190-A0021";1;1;5;"";;120;1;"";1;1;"";5;"";2;"";14;6;;;1;28;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;1;1;2;;2;"04";"0410";"041001";2;"42-04600368190-A";4;28;11;2014;255;256
"42-04600368190-A0031";1;4;1;"";50;;2;"";2;4;"";1;"";2;"";13;6;;;1;22;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";24;1;1;2;;2;"04";"0410";"041001";2;"42-04600368190-A";4;27;11;2014;255;256
"42-04600368190-A0041";1;1;5;"";;100;2;"";1;1;"";1;"";2;"";14;6;;;1;25;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;1;1;2;;2;"04";"0410";"041001";2;"42-04600368190-A";4;26;11;2014;255;256
