folio;s1a_01;s1a_02;s1a_02b;s1a_03;s1a_04;s1a_05;s1a_06;s1a_07;s1a_07b;s1a_08;s1a_09;s1a_09b;s1a_10;s1a_10b;s1a_11;s1a_11b;s1a_12a;s1a_12b;s1a_13;s1a_14;s1a_15;s1a_16;s1a_17;s1a_18;s1a_19;s1a_20;s1a_20b;s1a_21_1a;s1a_21_1b;s1a_21_2a;s1a_21_2b;s1a_21_3a;s1a_21_3b;s1a_21_4a;s1a_21_4a1;s1a_21_4b;s1a_22_1a;s1a_22_1b;s1a_22_2a;s1a_22_2b;s1a_22_3a;s1a_22_3b;s1a_22_4a;s1a_22_4b;s1a_22_5a;s1a_22_5a1;s1a_22_5b;s1a_23;s1a_24;s1a_24a;s1a_25;s1a_26;s1a_27;s1a_28;s1a_29;s1a_30;departamento;area;upm;estrato;factor
"314-05267761199-A-0071";1;6;"";;4200;2;;1;"";1;2;"";6;"";1;"";24;0;70;1;1;1;;1;350;6;"";2;;2;;2;;2;"";;2;;2;;2;;1;10000;2;"";;1;4;"";7;4;4;1;70;1;3;1;"314-05267761199-A";"14";257
"612-02979873809-A-0051";4;1;"";200;;2;;1;"";2;3;"";6;"";2;"";4;0;20;1;1;2;2;1;40;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";7;1;0;2;;2;6;1;"612-02979873809-A";"12";123
"613-02980637685-A-0251";1;5;"";;300;2;;1;"";1;1;"";6;"";1;"";3;0;7;1;1;1;;1;9;6;"";1;250;1;70;2;;2;"";;2;;2;;2;;1;250;2;"";;1;4;"";7;1;1;1;0;2;6;1;"613-02980637685-A";"13";171
"613-02970888419-A-0291";4;1;"";250;;2;;1;"";1;3;"";6;"";1;"";5;0;10;1;1;1;;1;10;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";6;1;0;2;;2;6;1;"613-02970888419-A";"13";156
"614-02978690286-A-0031";4;1;"";400;;2;;1;"";1;3;"";6;"";1;"";24;0;50;1;1;2;3;1;35;6;"";2;;2;;2;;2;"";;2;;2;;2;;1;10;2;"";;2;3;"";5;1;0;2;;2;6;1;"614-02978690286-A";"14";183
"314-05211093884-A-0131";1;2;"";;1000;2;;1;"";1;1;"";6;"";11;"";;;42;1;1;2;3;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";4;3;2;2;;2;3;1;"314-05211093884-A";"14";192
"724-03911340313-A-0111";1;2;"";;800;2;;1;"";1;1;"";6;"";1;"";24;0;41;1;1;2;2;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";4;3;1;2;;2;7;1;"724-03911340313-A";"14";375
"911-12121844425-A-0161";1;3;"";;1500;2;;1;"";1;1;"";6;"";10;"";;;40;2;;1;;1;150;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";4;3;2;2;;2;9;1;"911-12121844425-A";"11";69
"613-02979880432-A-0141";4;1;"";305;;2;;1;"";1;3;"";6;"";2;"";24;0;20;1;1;1;;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";2;1;0;2;;1;6;1;"613-02979880432-A";"13";156
"713-05215199424-A-0121";1;1;"";500;;2;;1;"";1;1;"";6;"";1;"";24;0;50;1;1;2;2;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";2;2;2;2;;2;7;1;"713-05215199424-A";"13";375
