dep;pro;can;ciu;area;zona;v00;v01;v02;v03;v04;v05;v06;v07;v081;v082;v083;v09;v10;v11;v12;v14;v15;v18h;v18m;i10v;i13v;v011;claviv;v18t;urb;folio;totpob;tothom;totmuj
9;95;0;99;1;1;14;11;1;5;1;4;4;5;1;3;3;1;1;0;2;5;3;1;0;6;11;1;4;1;1;1151645;1;1;0
9;95;0;99;1;1;14;11;1;5;1;1;4;5;1;3;3;1;3;1;1;2;3;2;1;7;11;1;4;3;1;1151646;3;2;1
9;95;0;99;1;1;14;11;1;5;1;1;4;5;1;3;3;1;2;1;1;2;3;2;2;8;11;1;4;4;1;1151647;4;2;2
9;95;0;99;1;1;14;11;1;3;1;3;4;3;3;4;3;1;4;1;2;5;3;1;0;9;11;1;2;1;1;1151648;1;1;0
9;95;0;99;1;1;14;11;1;4;1;1;2;1;1;3;1;1;1;0;2;2;3;1;0;10;11;1;2;1;1;1151649;1;1;0
9;95;0;99;1;1;9;11;1;5;1;1;1;1;1;3;3;1;2;1;2;1;3;0;1;11;11;1;4;1;1;1151650;1;0;1
9;95;0;99;1;1;14;11;1;3;1;3;4;3;1;3;3;1;2;1;1;1;3;5;4;12;11;1;2;9;1;1151651;9;5;4
9;95;0;99;1;1;14;11;1;1;1;3;4;3;1;3;3;1;1;0;2;2;3;2;1;13;11;1;3;3;1;1151652;3;2;1
9;95;0;99;1;1;14;11;1;3;1;3;4;3;1;3;3;1;1;0;2;2;3;1;0;14;11;1;2;1;1;1151653;1;1;0
9;95;0;99;1;1;14;11;1;1;1;3;4;3;1;3;3;1;1;0;2;2;3;0;1;15;11;1;3;1;1;1151654;1;0;1
9;95;0;99;1;1;14;11;1;1;1;3;4;3;1;3;3;1;1;0;2;2;3;1;1;16;11;1;3;2;1;1151655;2;1;1
9;95;0;99;1;1;14;14;1;5;4;1;2;1;1;3;3;2;3;2;1;1;3;4;1;17;11;1;5;5;1;1151656;5;4;1
9;95;0;99;1;1;14;14;1;5;4;4;3;1;1;3;3;1;3;2;2;2;3;2;3;18;11;1;5;5;1;1151657;5;2;3
