folio;id01;resultad;totper;rcompra;c_dia;c_mes;c_resul;s1_01;s1_02;s1_02e;s1_03;s1_04;s1_05;s1_05e;s1_06;s1_07;s1_07e;s1_08;s1_08e;s1_09;s1_09e;s1_10;s1_11;s1_12;s1_13;s1_14;s1_15;s1_16;s1_16e;s1_171a;s1_171b;s1_172a;s1_172b;s1_173a;s1_173b;s1_174a;s1_174b;s1_174e;s1_181a;s1_181b;s1_182a;s1_182b;s1_183a;s1_183b;s1_184a;s1_184b;s1_185a;s1_185b;s1_185e;s1_19;s1_20;s1_20e;s1_21;s1_22;s1_23;s1_24;s1_25;s1_26;upm;area;estrato;factor_ant;factor
"10202020271";"01";1;4;1;3;12;1;1;2;"";;20;2;"";2;4;"";1;"";6;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;"";0;1;0;2;;2;"102020202";2;"32";282;283
"10202020301";"01";1;2;1;3;12;1;1;2;"";;20;2;"";2;4;"";1;"";6;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;"102020202";2;"32";282;283
"10202020341";"01";1;7;2;4;12;1;1;2;"";;30;2;"";2;4;"";1;"";6;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;"";0;3;2;2;;2;"102020202";2;"32";282;283
"10202020381";"01";1;3;1;4;12;1;1;2;"";;20;2;"";2;4;"";1;"";8;"";0;6;;;2;;3;"";1;200;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;"102020202";2;"32";282;283
"10202020421";"01";1;2;1;4;12;1;1;2;"";;30;2;"";2;4;"";1;"";6;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;"102020202";2;"32";282;283
"10202020461";"01";1;7;1;4;12;1;1;5;"";;20;2;"";1;4;"";1;"";8;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;"102020202";2;"32";282;283
"10208040041";"01";1;6;1;7;12;1;1;2;"";;30;2;"";2;4;"";1;"";6;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;"102080404";2;"32";435;436
"10208040101";"01";1;1;1;7;12;1;1;2;"";;30;2;"";2;4;"";1;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;1;1;2;;2;"102080404";2;"32";435;436
"10208040161";"01";1;2;2;6;12;1;1;2;"";;30;2;"";2;4;"";1;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;"102080404";2;"32";435;436
"10208040221";"01";1;4;1;7;12;1;1;2;"";;20;2;"";2;4;"";1;"";8;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;2;2;;2;"102080404";2;"32";435;436
"10208040281";"01";1;7;2;7;12;1;1;2;"";;30;2;"";2;4;"";1;"";6;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;"102080404";2;"32";435;436
"10208040341";"01";1;3;1;7;12;1;1;2;"";;50;2;"";1;2;"";5;"";6;"";0;6;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;"102080404";2;"32";435;436
"10208040401";"01";1;3;1;6;12;1;1;2;"";;20;2;"";1;4;"";1;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;4;1;2;;2;"102080404";2;"32";435;436
"10208040451";"01";1;9;1;7;12;1;1;2;"";;50;2;"";1;4;"";1;"";8;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;"102080404";2;"32";435;436
"10208040511";"01";1;9;1;7;12;1;1;2;"";;50;2;"";2;4;"";1;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;"102080404";2;"32";435;436
"10208040571";"01";1;4;1;7;12;1;1;2;"";;20;2;"";2;4;"";1;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;"102080404";2;"32";435;436
"10208040631";"01";1;4;2;6;12;1;1;4;"";;20;2;"";1;4;"";1;"";8;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;"102080404";2;"32";435;436
"10208040691";"01";1;6;1;7;12;1;1;2;"";;20;2;"";1;4;"";1;"";8;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;"102080404";2;"32";435;436
"10222070081";"01";1;5;2;11;12;1;1;2;"";;50;2;"";1;4;"";5;"";2;"";1;6;;;1;15;4;"";1;300;2;;2;;2;;"";1;1000;2;;2;;2;;2;;"";1;3;"";32;1;1;2;;2;"102220107";2;"32";362;363
"10222070161";"01";1;5;2;11;12;1;1;1;"";100;;2;"";1;1;"";5;"";2;"";2;4;;1;1;40;3;"";2;;2;;2;;2;;"";1;1500;2;;2;;2;;2;;"";1;3;"";35;2;1;2;;2;"102220107";2;"32";361;362
"10222070241";"01";1;2;2;10;12;1;1;2;"";;50;2;"";1;4;"";5;"";2;"";2;2;;1;1;28;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;3;"";30;3;1;2;;2;"102220107";2;"32";361;362
"10222070321";"01";1;10;2;11;12;1;1;1;"";30;;2;"";2;4;"";1;"";2;"";2;3;;1;1;20;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;4;3;2;;2;"102220107";2;"32";361;362
"10222070401";"01";1;3;2;10;12;1;1;2;"";;100;2;"";1;2;"";5;"";2;"";2;4;;1;1;25;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;3;"";70;6;2;2;;2;"102220107";2;"32";361;362
"10222070481";"01";1;6;2;11;12;1;4;4;"";;100;2;"";1;1;"";5;"";2;"";0;1;3;2;1;0;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;3;"";35;1;0;2;;2;"102220107";2;"32";361;362
"10222070561";"01";1;5;2;11;12;1;1;2;"";;50;2;"";2;1;"";5;"";2;"";12;2;;1;1;35;2;"";1;1600;2;;2;;2;;"";1;900;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;"102220107";2;"32";361;362
"10222070631";"01";1;3;1;10;12;1;1;2;"";;30;2;"";1;4;"";5;"";2;"";6;1;3;1;1;15;2;"";1;60;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;3;"";35;6;3;2;;2;"102220107";2;"32";361;362
"10222070711";"01";1;5;1;11;12;1;1;2;"";;120;2;"";1;2;"";5;"";2;"";2;6;;;1;12;2;"";1;1200;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;3;"";35;3;2;2;;2;"102220107";2;"32";361;362
"10222070791";"01";1;6;2;11;12;1;1;2;"";;60;2;"";2;4;"";5;"";2;"";5;6;;;1;20;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;3;"";35;5;3;2;;2;"102220107";2;"32";361;362
"10222070871";"01";1;6;2;11;12;1;1;2;"";;100;2;"";1;1;"";5;"";2;"";2;6;;;1;25;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;3;"";35;3;2;2;;2;"102220107";2;"32";361;362
"10222070951";"01";1;3;2;11;12;1;1;5;"";;150;1;"";1;4;"";5;"";2;"";3;1;4;1;1;45;2;"";1;1000;2;;2;;2;;"";1;1500;2;;2;;2;;1;200;"PUERTAS";1;3;"";35;4;2;2;;2;"102220107";2;"32";361;362
"10262030011";"01";1;6;1;23;11;1;1;2;"";;50;4;"";2;4;"";1;"";7;"";0;6;;;2;;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;"102620303";2;"32";384;385
"10262030031";"01";1;6;1;23;11;1;1;2;"";;20;2;"";2;4;"";1;"";8;"";0;6;;;1;0;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;1;200;"INSTALACION DE PANEL SOLAR";2;1;"";0;4;3;2;;2;"102620303";2;"32";384;385
"10262030051";"01";1;1;1;22;11;1;1;2;"";;40;4;"";2;4;"";1;"";7;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;"102620303";2;"32";384;385
