folio;upm;s11a_01;s11a_02;s11a_02_1;s11a_03a;s11a_03b;s11a_04a;s11a_04b;s11a_05;s11a_05e;s11a_06;s11a_07;s11a_07e;s11a_08;s11a_08e;s11a_09;s11a_10a;s11a_10b;s11a_11a;s11a_11b;s11a_12;s11a_13a;s11a_13b;s11a_13c;s11a_13d;s11a_13e;s11a_13f;s11a_13g;s11a_13h;s11a_13i;s11a_13j;s11a_13k;s11a_13ke;area;depto;estrato;factor
113932;"261-06156164955-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";160
113934;"261-06156164955-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";160
113940;"261-06156164955-A";1;1;1;20104;"ACHOCALLA";1;6;1;"";4;3;"";11;"";2;;;150;1;2;0;80;25;0;10;0;15;0;0;20;0;"";1;2;"11";160
113945;"613-02968305208-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;6;"13";177
113985;"262-06033945107-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";220
114004;"262-06033945107-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";220
114012;"261-06139151900-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114013;"261-06139151900-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114014;"261-06139151900-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114026;"262-06047899503-A";1;1;1;21305;"CIVICANI";2;3;2;"";2;3;"";7;"";2;;;300;1;2;0;230;50;0;20;0;0;0;0;0;0;"";1;2;"12";202
114032;"262-06047899503-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114037;"262-06047899503-A";1;1;1;20202;"Chuquiñapi";1;10;1;"";2;4;"";11;"";2;;;120;1;2;0;40;80;0;0;0;0;0;0;0;0;"";1;2;"12";202
114045;"262-06084340558-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114049;"262-06084340558-A";1;1;1;20901;"WILAPAMPA";2;1;2;"";2;4;"";7;"";2;;;160;1;2;0;40;120;0;0;0;0;0;0;0;0;"";1;2;"12";202
114056;"262-06084340558-A";1;1;1;20702;"Pelechuco";2;5;12;"FIESTA";1;4;"";7;"";2;;;1800;1;1;0;40;110;0;50;0;0;0;0;1600;0;"";1;2;"12";202
114063;"262-06076867646-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114068;"262-06076867646-A";1;1;1;70101;"Santa Cruz de la Sierra";2;2;2;"";1;4;"";7;"";2;;;1000;1;1;0;50;160;0;0;0;0;80;150;110;450;"REGALOS";1;2;"12";202
