folio;departamento;totper;rcompra;s7_13_01;s7_13_02;s7_13_03;s7_13_04;s7_13_05;s7_13_06;s7_13_07;s7_13_08;s7_13_09;s7_13_10;s7_13_11;s7_13_12;s7_13_13;s7_13_14;s7_13_15;s7_14_01;s7_14_02;s7_14_03;s7_14_04;s7_14_05;s7_14_06;s7_14_07;s7_14_08;s7_14_09;s7_15_01;s7_15_02;s7_15_03;s7_15_04;s7_15_05;s7_15_06;s7_15_07;s7_15_08;s7_15_09;s7_15_10;s7_15_11;s7_15_12;s7_15_13;s7_15_14;s7_15_15;upm;estrato;area;suma_sal;factor_ant;factor
"10154040291";"01";4;2;40;0;100;0;0;0;20;14;0;0;20;0;0;0;0;3.333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.166666666666667;0;0;0;0;0;0;0;"101540304";"22";2;201.5;327;306
"10154040321";"01";4;2;35;0;30;0;0;0;30;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.333333333333334;0;0;0;0;0;0;0;"101540304";"22";2;110.3333333333333;327;306
"10154040351";"01";1;1;50;0;50;0;0;0;30;0;0;0;0;0;0;0;0;6.666666666666667;0;10;0;0;0;0;13.33333333333333;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;"101540304";"22";2;185;327;306
"10158020011";"01";4;2;20;0;60;0;0;0;30;0;0;0;0;600;0;0;0;33.33333333333334;0;0;0;0;0;16.66666666666667;16.66666666666667;0;0;0;0;0;6.666666666666667;0;0;1.666666666666667;0;0;0;0;0;0;0;"101580402";"22";2;784.9999999999999;308;288
"10158020041";"01";5;1;30;0;30;0;0;5;25;8;20;0;15;0;0;0;0;0;266.6666666666667;83.33333333333333;66.66666666666667;0;0;0;3.333333333333333;0;2.5;166.6666666666667;66.66666666666667;0;23.33333333333333;8.333333333333334;0;0;0;0;0;.8333333333333334;0;0;0;"101580402";"22";2;821.3333333333334;308;288
"10158020061";"01";2;2;18;0;50;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101580402";"22";2;79;308;288
"10158020091";"01";2;2;45;0;100;0;0;20;45;0;10;0;12;0;0;0;0;0;0;0;0;0;0;0;46.66666666666666;0;.8333333333333334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101580402";"22";2;279.5;308;288
"10158020121";"01";4;2;28;0;50;0;0;0;20;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;"101580402";"22";2;111;308;288
"10158020141";"01";1;1;10;0;30;0;0;0;20;0;8;0;5;0;0;0;0;0;0;0;66.66666666666667;0;0;0;133.3333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101580402";"22";2;273;308;288
"10158020171";"01";3;1;35;0;52;0;0;0;40;0;0;0;15;0;0;0;0;0;33.33333333333334;0;33.33333333333334;0;0;0;0;0;0;0;0;0;0;0;0;4.166666666666667;0;0;0;0;0;0;0;"101580402";"22";2;212.8333333333333;308;288
"10158020201";"01";6;2;25;0;100;0;0;0;15;18;12;0;0;0;0;0;0;0;0;0;0;0;0;0;33.33333333333334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101580402";"22";2;203.3333333333333;308;288
