folio;upm;s01a_00a;s01a_00b;s01a_00c;s01a_01;totper;s01a_02;s01a_02e;s01a_03;s01a_03e;s01a_04;s01a_05;s01a_06;s01a_06e;s01a_07;s01a_08;s01a_08e;s01a_09;s01a_09e;s01a_10;s01a_10e;s01a_11aa;s01a_11ab;s01a_11b;s01a_12;s01a_13;s01a_14_1;s01a_14_2;s01a_14_3;s01a_15;s01a_16;s01a_17;s01a_18;s01a_19;s01a_20;s01a_21;s01a_21e;s01a_22_1a;s01a_22_1b;s01a_22_2a;s01a_22_2b;s01a_22_3a;s01a_22_3b;s01a_22_4a;s01a_22_4ae;s01a_22_4b;s01a_23_1a;s01a_23_1b;s01a_23_2a;s01a_23_2b;s01a_23_3a;s01a_23_3b;s01a_23_4a;s01a_23_4b;s01a_23_5a;s01a_23_5ae;s01a_23_5b;s01a_24;s01a_25;s01a_25e;s01a_26;s01a_27;s01a_28;s01a_29;s01a_30;s01a_31;area;depto;estrato;factor
130865;"712-05226615851-A";5;11;2016;1;9;1;"";4;"";;850;1;"";1;2;"";6;"";1;"";24;0;7;70;2;1;2;2;1;1;1;;1;180;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;4;4;2;;2;1;7;"12";415
130886;"713-05238311800-A";4;11;2016;1;4;3;"";;"";2000;;1;"";1;2;"";6;"";1;"";24;0;7;56;2;1;1;2;1;1;1;;1;300;6;"";2;;1;70;1;30;2;"";;2;;2;;2;;2;;2;"";;1;4;"";25;3;3;1;30;1;1;7;"13";473
130891;"713-05238311800-A";5;11;2016;1;4;3;"";;"";3000;;1;"";1;2;"";6;"";1;"";24;0;7;170;2;1;1;2;1;2;2;3;1;300;6;"";1;500;1;600;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";44;2;2;2;;1;1;7;"13";473
130892;"713-05238311800-A";4;11;2016;1;4;1;"";4;"";;2000;1;"";1;2;"";6;"";1;"";24;0;7;130;2;1;1;1;1;1;1;;1;160;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";22;3;3;2;;2;1;7;"13";473
130940;"613-02978389370-A";4;11;2016;4;3;3;"";;"";350;;2;"";1;2;"";6;"";2;"";24;0;7;25;2;1;1;1;1;1;2;4;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;2;1;2;;1;1;6;"13";163
130941;"613-02978389370-A";4;11;2016;1;4;1;"";998;"";;600;2;"";1;1;"";5;"";2;"";24;0;7;70;2;1;1;1;1;1;2;4;1;70;6;"";1;200;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;1;0;2;;2;1;6;"13";163
130942;"613-02978389370-A";4;11;2016;4;1;1;"";998;"";;500;1;"";1;3;"";6;"";2;"";24;0;7;156;2;1;1;1;1;1;2;6;1;70;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;4;"";8;1;0;2;;2;1;6;"13";163
130977;"743-05579776682-D";4;11;2016;1;13;1;"";4;"";;700;5;"";2;1;"";2;"";4;"";;;;60;2;1;1;1;1;2;1;;2;;2;"";2;;2;;2;;2;"";;1;28000;2;;2;;2;;2;"";;1;3;"";56;6;5;2;;2;2;7;"23";574
130978;"743-05579776682-D";4;11;2016;1;2;1;"";4;"";;800;5;"";2;1;"";2;"";4;"";;;;20;2;1;1;1;1;2;1;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;3;2;2;;2;2;7;"23";574
131002;"443-04890400099-A";2;11;2016;1;3;1;"";3;"";;50;1;"";1;1;"";5;"";9;"";;;;12;1;1;1;1;1;2;1;;1;28;4;"";2;;2;;2;;2;"";;2;;2;;2;;1;30;2;"";;1;3;"";25;1;0;2;;2;2;4;"23";173
