idep;ipro;isec;i03;i04;i05;i06;i07;i08;i09;i10;i13;typ;i12;i122;v01;v02;v03;v04;v05;v06;v07;v08;v081;v082;v09;v10;v11;v12;v13;v14;v15a;v15b;v15c;v15d;v15e;v15f;v15g;v15h;v15i;v16a;v16b;v16c;v16d;v16e;v17;v171a;v171b1;v171b2;v171b3;v171b4;v171b5;v172a;v172b1;v172b2;v172b3;v172b4;v172b5;v18h;v18m;v18t;otro1;v20;v21;v22;otro2;nbi;urba;vparti
9;1;1;1;101;1;10;1;2;9999;26;26;1;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"026";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;3;350;1;1;1;;;1;1;5;1;1;2;1;1;1;2;1;3;3;1;5;1;0;4;0;2;0;0;0;0;0;0;0;0;6;0;2;;;;;;;;;;;;;4;2;6;"017";2;4;1;" ";822;1;1
9;1;1;1;101;1;10;1;3;350;2;2;1;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"017";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;3;350;3;3;1;;;1;1;5;1;1;2;1;1;1;2;1;2;2;1;5;4;0;0;0;3;0;0;0;0;0;0;0;3;0;0;2;;;;;;;;;;;;;1;2;3;"017";2;4;1;" ";1076;1;1
9;1;1;1;101;1;10;1;3;350;4;4;1;;;1;1;3;1;4;1;1;1;1;2;1;2;2;1;5;1;0;3;0;0;0;0;0;0;0;0;3;0;0;0;2;;;;;;;;;;;;;1;2;3;"017";3;2;1;" ";695;1;1
9;1;1;1;101;1;10;1;3;350;5;5;1;;;1;1;5;1;1;2;1;2;2;3;1;2;2;1;5;1;0;7;0;2;0;0;0;0;0;0;9;0;0;0;1;1;26;;;;;;;;;;;4;5;9;"017";4;4;1;" ";969;1;1
9;1;1;1;101;1;10;1;3;350;6;6;1;;;1;1;3;1;3;2;1;2;2;3;1;1;1;1;5;1;0;2;0;0;1;0;0;0;0;0;2;1;0;0;2;;;;;;;;;;;;;0;3;3;"017";4;2;1;" ";1190;1;1
9;1;1;1;101;1;10;1;3;350;7;7;1;;;3;1;3;1;3;2;1;2;2;3;1;1;1;1;5;6;0;3;0;0;0;0;0;0;0;0;3;0;0;0;2;;;;;;;;;;;;;2;1;3;"017";2;2;1;" ";1039;1;1
9;1;1;1;101;1;10;1;3;350;8;8;1;;;3;1;3;1;3;2;1;2;2;3;1;1;1;2;5;2;0;0;0;3;0;0;0;0;0;0;3;0;0;0;2;;;;;;;;;;;;;1;2;3;"017";2;2;1;" ";1246;1;1
9;1;1;1;101;1;10;1;3;350;9;9;1;;;3;1;3;1;3;2;1;2;2;3;1;1;1;2;5;2;0;0;0;3;0;0;0;0;0;0;2;1;0;0;2;;;;;;;;;;;;;1;2;3;"017";2;2;1;" ";1131;1;1
9;1;1;1;101;1;10;1;3;350;10;10;1;;;3;1;5;5;1;2;1;3;;;2;1;1;2;7;2;0;0;0;0;4;0;0;0;0;0;1;0;3;0;2;;;;;;;;;;;;;1;3;4;"017";4;11;1;" ";1555;1;1
9;1;1;1;101;1;10;1;3;350;11;11;1;;;1;1;5;2;1;2;1;2;2;3;1;4;4;1;5;1;0;2;0;0;2;0;0;0;0;0;0;0;0;4;2;;;;;;;;;;;;;3;1;4;"017";3;4;1;" ";1004;1;1
9;1;1;1;101;1;10;1;3;350;12;12;1;;;1;1;5;4;1;2;1;2;1;3;1;3;3;1;5;1;0;5;0;0;0;0;0;0;0;0;5;0;0;0;2;;;;;;;;;;;;;2;3;5;"017";3;5;1;" ";861;1;1
9;1;1;1;101;1;10;1;3;350;13;13;1;;;1;1;5;4;1;2;1;2;1;3;1;2;2;1;1;1;3;1;0;0;0;0;0;0;0;0;4;0;0;0;2;;;;;;;;;;;;;3;1;4;"017";3;5;1;" ";1035;1;1
9;1;1;1;101;1;10;1;3;350;14;14;1;;;1;1;5;4;3;2;1;2;1;3;1;2;1;1;3;1;0;1;0;4;0;0;0;0;0;0;5;0;0;0;2;;;;;;;;;;;;;1;4;5;"017";3;5;1;" ";1115;1;1
9;1;1;1;101;1;10;1;3;350;15;15;1;;;3;1;1;1;5;4;2;2;2;3;2;2;2;1;1;2;0;0;0;7;0;0;0;0;0;0;7;0;0;0;2;;;;;;;;;;;;;4;3;7;"017";2;7;1;" ";1391;1;1
9;1;1;1;101;1;10;1;3;350;16;16;1;;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"017";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;3;350;17;17;1;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"017";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;4;350;1;1;1;;;3;1;5;1;1;1;1;1;2;2;1;1;1;2;3;2;0;0;0;0;4;0;0;0;0;0;4;0;0;0;2;;;;;;;;;;;;;2;2;4;"013";3;4;1;" ";1326;1;1
9;1;1;1;101;1;10;1;4;350;2;2;1;;;3;1;5;1;1;1;1;1;1;2;1;1;1;2;3;2;0;0;0;0;6;0;0;0;0;0;0;0;6;0;2;;;;;;;;;;;;;1;5;6;"013";2;4;1;" ";1225;1;1
9;1;1;1;101;1;10;1;4;350;3;3;1;;;1;1;5;1;1;1;1;1;1;2;1;4;3;1;5;1;0;2;0;1;0;0;1;0;0;0;4;0;0;0;2;;;;;;;;;;;;;2;2;4;"013";4;4;1;" ";816;1;1
9;1;1;1;101;1;10;1;4;350;4;4;1;;;1;1;5;5;1;1;1;1;2;2;1;2;1;1;5;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;;;;;;;;;;;;;0;1;1;"013";1;11;1;" ";704;1;1
9;1;1;1;101;1;10;1;4;350;5;5;1;;;5;1;5;1;1;4;2;3;;;1;1;1;2;7;7;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;;;;;;;;;;;;;1;0;1;"013";1;4;1;" ";762;1;1
9;1;1;1;101;1;10;1;4;350;6;6;1;;;1;1;5;1;1;2;1;2;1;2;1;5;3;1;5;1;0;2;0;7;0;0;0;0;0;0;9;0;0;0;2;;;;;;;;;;;;;4;5;9;"013";4;4;1;" ";709;1;1
9;1;1;1;101;1;10;1;4;350;7;7;1;;;1;1;1;5;1;2;1;2;2;3;1;1;1;1;3;7;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;;;;;;;;;;;;;0;1;1;"013";1;11;1;" ";1398;1;1
9;1;1;1;101;1;10;1;4;350;8;8;1;;;1;1;5;5;1;2;1;2;2;3;1;2;2;1;5;2;0;2;0;0;3;0;0;0;0;0;5;0;0;0;2;;;;;;;;;;;;;3;2;5;"013";3;11;1;" ";1116;1;1
9;1;1;1;101;1;10;1;4;350;9;9;1;;;1;1;3;1;1;2;1;1;1;2;1;3;2;1;5;2;0;0;0;2;3;0;0;0;0;0;5;0;0;0;2;;;;;;;;;;;;;2;3;5;"013";2;2;1;" ";887;1;1
9;1;1;1;101;1;10;1;4;350;10;10;1;;;1;1;3;1;2;1;1;1;1;2;1;2;1;1;3;1;0;0;0;2;1;0;0;0;0;0;2;1;0;0;2;;;;;;;;;;;;;1;2;3;"013";4;2;1;" ";1126;1;1
9;1;1;1;101;1;10;1;4;350;11;11;1;;;1;1;5;1;1;1;1;1;1;2;1;3;2;1;5;1;0;0;0;3;0;0;0;0;0;0;3;0;0;0;2;;;;;;;;;;;;;1;2;3;"013";2;4;1;" ";709;1;1
9;1;1;1;101;1;10;1;4;350;12;12;1;;;1;1;5;5;1;2;1;2;1;3;1;3;1;1;7;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;;;;;;;;;;;;;1;0;1;"013";1;11;1;" ";710;1;1
9;1;1;1;101;1;10;1;4;350;13;13;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"013";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;5;330;1;1;1;;;4;1;5;4;5;2;1;2;1;3;2;2;2;1;1;5;0;0;0;0;5;0;0;0;0;0;0;5;0;0;2;;;;;;;;;;;;;2;3;5;"018";2;10;1;" ";1555;1;1
9;1;1;1;101;1;10;1;5;330;2;2;1;;;1;1;5;1;1;2;1;2;1;3;1;4;2;1;5;1;0;0;0;0;4;0;0;0;0;0;4;0;0;0;2;;;;;;;;;;;;;3;1;4;"018";3;4;1;" ";1063;1;1
9;1;1;1;101;1;10;1;5;330;3;3;1;;;1;1;5;1;1;2;1;1;1;2;1;4;3;1;5;2;0;6;0;0;0;0;0;0;0;0;6;0;0;0;2;;;;;;;;;;;;;3;3;6;"018";3;4;1;" ";843;1;1
9;1;1;1;101;1;10;1;5;330;4;4;1;;;1;1;5;1;1;1;1;1;1;2;1;2;2;1;5;1;0;1;0;0;2;0;0;0;0;0;3;0;0;0;2;;;;;;;;;;;;;1;2;3;"018";2;4;1;" ";1003;1;1
9;1;1;1;101;1;10;1;5;330;5;5;1;;;1;1;5;1;1;1;1;2;1;3;1;2;2;1;5;1;0;0;0;0;4;0;0;0;0;0;4;0;0;0;2;;;;;;;;;;;;;2;2;4;"018";4;4;1;" ";1318;1;1
9;1;1;1;101;1;10;1;5;330;6;6;1;;;1;1;5;1;1;2;1;1;1;1;1;4;3;1;5;1;0;0;0;0;0;0;0;0;4;0;4;0;0;0;2;;;;;;;;;;;;;0;4;4;"018";2;4;1;" ";10000;1;1
9;1;1;1;101;1;10;1;5;330;7;7;1;;;1;1;5;1;1;2;1;1;1;1;1;3;1;1;5;6;0;3;0;0;0;0;0;0;0;0;3;0;0;0;2;;;;;;;;;;;;;1;2;3;"018";2;4;1;" ";845;1;1
9;1;1;1;101;1;10;1;5;330;8;8;1;;;1;1;5;1;1;1;1;1;2;1;1;3;1;1;5;6;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;;;;;;;;;;;;;1;0;1;"018";1;4;1;" ";437;1;1
9;1;1;1;101;1;10;1;5;330;9;9;1;;;1;1;3;2;2;1;1;1;1;2;1;3;3;1;5;1;0;0;0;7;0;0;0;0;0;0;7;0;0;0;2;;;;;;;;;;;;;5;2;7;"018";3;2;1;" ";852;1;1
9;1;1;1;101;1;10;1;5;330;10;10;1;;;1;1;5;1;1;2;1;1;1;2;1;3;2;1;5;2;0;0;0;6;0;0;0;0;0;0;0;6;0;0;2;;;;;;;;;;;;;1;5;6;"018";3;4;1;" ";757;1;1
9;1;1;1;101;1;10;1;5;330;11;11;1;;;1;1;5;1;3;2;1;2;1;3;1;6;4;1;3;1;0;1;0;0;7;0;0;0;0;0;4;4;0;0;2;;;;;;;;;;;;;3;5;8;"018";3;4;1;" ";1209;1;1
9;1;1;1;101;1;10;1;5;330;12;12;1;;;1;1;5;1;1;2;1;1;1;2;1;2;1;2;5;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;;;;;;;;;;;;;0;2;2;"018";2;4;1;" ";1124;1;1
9;1;1;1;101;1;10;1;5;330;13;13;1;;;1;1;3;1;2;1;1;1;1;2;1;6;4;1;5;1;4;0;0;4;0;0;0;0;0;0;0;1;0;7;2;;;;;;;;;;;;;3;5;8;"018";4;2;1;" ";835;1;1
9;1;1;1;101;1;10;1;5;330;14;14;1;;;1;1;5;1;1;2;1;2;1;3;1;2;1;2;5;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;;;;;;;;;;;;;1;1;2;"018";2;4;1;" ";858;1;1
9;1;1;1;101;1;10;1;5;330;15;15;1;;;3;1;5;1;1;1;1;2;1;3;1;1;1;2;7;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;;;;;;;;;;;;;0;1;1;"018";1;4;1;" ";1135;1;1
9;1;1;1;101;1;10;1;5;330;16;16;1;;;3;1;5;1;1;2;1;2;2;3;1;1;1;2;7;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;;;;;;;;;;;;;1;1;2;"018";2;4;1;" ";1353;1;1
